# transcript_source: asr:faster-whisper:base
# normalize_warning: 未安装 opencc-python-reimplemented，未执行繁简转换。
[00:00-00:01] 哪一头啊 朋友们
[00:01-00:02] 会用AZ呢
[00:02-00:05] 是今年所有人都绕不过去的话
[00:05-00:06] 但说实话
[00:06-00:08] 90%的朋友还停留在用
[00:08-00:10] AI提问聊天的解断
[00:10-00:13] 所以今天就是一起专门给
[00:13-00:15] 白领的桌面AZ
[00:15-00:16] 办公体效果
[00:16-00:17] 创造成
[00:17-00:18] 那之前呢
[00:18-00:20] 我也出过海外的Codex
[00:20-00:21] 高度扣的的造成
[00:21-00:24] 但很多朋友都卡在了注册这一步
[00:24-00:26] 所以今天我们换成最新的
[00:26-00:27] 国产桌面断AZ的
[00:27-00:30] KimiWalk用实际的日常办公案例
[00:30-00:32] 在你一次拉通
[00:32-00:34] 桌面断AZ的发达能力
[00:34-00:35] 那是你们用到的
[00:35-00:37] 其实此的我也都整理成了温暖
[00:37-00:38] 点号库层温暖在
[00:38-00:42] 让你的日常办公正式败入AZ的时代
[00:42-00:46] 桌面断AZ的最大的特点
[00:46-00:49] 就是它运行在你自己的电脑上
[00:49-00:50] 所以第一步
[00:50-00:52] 我们得先去装一个桌面断应用
[00:52-00:55] 我们在Kimi的官网找到KimiWalk
[00:55-00:57] 然后给他装上
[00:57-00:58] 然后扫码登录就行了
[00:58-01:01] 那打开之后他有两个模式
[01:01-01:02] 这个刹特呢
[01:02-01:04] 其实就相当于你在榴栏期里面
[01:04-01:05] 去打开Kimi官网
[01:05-01:06] 没什么区别
[01:06-01:09] 而这个Walk才是今天的主角
[01:09-01:12] 真正运行在你电脑上的AZ的
[01:12-01:18] 第一大技术动法就是帮你读写操作本地文件
[01:18-01:20] 我们点这个新剑项目
[01:20-01:23] 就可以选一个一有的本地文件夹
[01:23-01:25] 或者是你新开一个文件夹
[01:25-01:28] 给他作为AZ的项目工作区
[01:28-01:30] 比如说我打开了这个文件夹
[01:30-01:33] 那里面是存了一个E-cell表格的
[01:33-01:36] 这个表格有所有的985211
[01:36-01:38] 进三年各省份的分数线
[01:38-01:41] 是我本来想帮表妹去分析该填哪个学校的
[01:41-01:42] 但是呢
[01:42-01:44] 大家看这个表格他太乱了
[01:44-01:47] 年份省份和学科全都混带一起
[01:47-01:49] 我们自己去对比的就特别费劲
[01:49-01:53] 于是我们就可以让KimiWalk直接帮我们改表格
[01:53-01:56] 把这个分数段以内的广东省报告的学校
[01:56-01:59] 按照近一年到分数线
[01:59-02:00] 从高到低给他排好
[02:00-02:01] 那这里呢
[02:01-02:04] 如果你不想每一次AZ做操作
[02:04-02:05] 都要你手中圈认的话
[02:05-02:08] 我们可以选这个全部允许的全剑
[02:08-02:09] OK
[02:09-02:12] 他就会直接在我们的文件上动手了
[02:12-02:14] 我们直接在WPS里面就能看到
[02:14-02:16] 这个表格已经变了
[02:16-02:18] 这个分数段能够报出来的学校
[02:18-02:19] 帮我们摔出来了
[02:19-02:21] 也排好的去
